row_id,group_id,document_name_clean,tool_position,tool_name,tool_member_family,tool_raw
part3-729f8d937fbe4db3,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-3b9837299eb26dcc,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-18c101423de578fb,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-894d129150d38859,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-6b8d40238b8cb775,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-940ef0b8f71fa481,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-74d8a8bcbb414654,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-80ebddb3dd62f60f,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-597892580c3cba14,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-398952c9ccc222dd,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-fb440777173b8b50,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-0c80c9f4fa893158,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1e1ded02dee22a56,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4a7a48d5e1744bab,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-092960f664125c3d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b59c70946fb4dcb5,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e3b6afdb4088c0ab,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-78fb156797870cfe,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-539661ec44184953,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1f772bf368cc91f3,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e0ee8c4e0879fb14,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d5ebe52e53b35e64,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-19bc75ff6aa68738,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-44cf749f7b6cd32d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-3647b7ff32a3fa18,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1e110ff1206320db,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-03bd036a8d741b08,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-247c5f470e41c5ec,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1d6c1d58bea2b4d6,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-cad7b2d2971f01f6,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-19254def820412e7,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-477597badb236202,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e3ffd5d32ae2fd27,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-ecb612dd128a504b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-12120fe79ce56974,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e3095ef16953545c,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-efccead4c7f643e2,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-efd55fc6c81c6c88,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-bdbf79549fd27555,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a37c8dc7a8b335bc,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-0f7cfa2f4afb217a,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-0b727326050c4b98,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d977def0037e784f,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-00fd58825effc1d6,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1a7f447a26a7270a,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-359dbd3e57f10ecd,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-5f73c99052ec1e6d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-450d8a8cd0d256cc,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-221ada7a41f748d9,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-db9a6f74e33b8055,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-9c10e48b772d9fb1,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e49a4ddcfffed884,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d4bb76a6c54631e1,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a752054de986af4e,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-90e7384e090de6ba,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-620065a7a8e1eec4,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-600c2186ad423831,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-bc18932d9fb4114d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-2c713276d2d6f324,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-5ddfc227ae16f4ad,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-44a530de1aa1e99e,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d08a8573c77cff49,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-92f0754fe7528fa8,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a449560a08271fb0,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4ee60d9af7f7a384,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-95a6f61a5a58dae6,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d088a87ed39910a0,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8956461a753c77a3,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e0e81a47f125e00f,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-003ee2ab53e49a40,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-cfa897065cb6c622,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-5e00f49f8c9c8d0a,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-c32bf921b05c26e5,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-d7e1e0bb2fd7ef0c,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b425a2595ba027c2,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-3bbddfccfd1bf4c5,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-7c4e8ac9b3994d60,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-36e4aec5579a5123,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4cea4313f83f7352,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-c8f20156d042172b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b41665a6993d10ae,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8adde597d3996310,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8102f16d6b1a260b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-30a943d5b245e608,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-76a508c7f9160ba2,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-5c2658f8c6b672f9,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e1362396fdf01077,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-555fbcb6cdb34a2e,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-ed4e824a70e471d0,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-bd226aab1675148a,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-be9d6e715c928adb,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-db2fb1d595fe1fcd,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b09c6abf7075c534,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-9f89c894f6567c02,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-bed4c07a5966ac47,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-cdf75c40af30d352,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-54c658f5a90bdaa2,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1fb3eab7ed32db33,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-885e8923c5c4e4af,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-75858f3511c4cc79,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-3a71521f0db5a428,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4553bfe3e1eb9af7,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-0eb3361ef4e87e2a,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-2caad40df416228f,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-146f2411f06ec829,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4bcf82c92ac7c2d5,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-0a8cb04bf0f62771,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-7c7ee33518b99c85,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-2fcf5f821e89bf6a,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-3e5f80a8f8e1cea5,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-94fb277e1511dfff,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-2c6557cd83588f88,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-32f6a298a6428f67,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1b526b96615506ed,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-16c8cb8ebc9af9ad,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-98672f47273cba84,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-74d5811db607ea26,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4c1fecdce2e1e72f,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a045e35ab207ed35,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-05ecbe5279f6b71c,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1b1849d777210a47,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-bd39220c956db9e2,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-aca6d018e9ab77a6,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-b2faaa9d6532cb2b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-4a44c51843218c41,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a3123be2ead41713,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-587b5d1e6c23b307,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-5fc5813c73e23500,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-1f2eaef9dfd11f3f,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-e8cb737c76ddf0ef,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a7109e1ba3e28871,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-cc182b553ef3f075,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-9d38d62fef2596cc,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-19eac986b2b13a51,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-ed75bd26e6299f9d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-c7dc87eb17481975,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-2919b72cf6f5dba7,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-9ac887a53074ef31,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-ecce1ba63731dd10,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-a16ad124c0f86fc3,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-add93c117d253865,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-299f5fe3c612683e,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-382c76f68058f73d,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-0633a0df9bd6e373,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-358e25475ab8872b,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-9c99f0f167061166,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-39e184e8ac66ce18,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
part3-8ad163b1f00f2175,4,University of Manchester HR Excellence in Research Award 10 Year Report 2021 - Summary,1,ChatGPT,llm,ChatGPT based on GPT-5.2
