E2R Guidelines,Elements to be identified,Value,Details,Comments,Tool used,Comment,Time Spent,Group,Web,E2R_Category
E2R Guidelines about Vocabulary,Use of synonyms instead of the same word across the text,Identified by the tool,"Some variation in terms like “chips”, “processors”, “hardware”, which may confuse readers.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Vocabulary
E2R Guidelines about Vocabulary,Adverbs ending in '-ly',Identified by the tool,"Used occasionally, e.g., “quietly”, “originally”.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Vocabulary
E2R Guidelines about Vocabulary,Superlatives,Not identified by the tool,,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Vocabulary
E2R Guidelines about Composition of Text,List things using commas instead of bullet points,Identified by the tool,Lists are embedded in sentences using commas,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",25.0,1,https://theconversation.com/google-is-relying-on-its-own-chips-for-its-ai-system-gemini-heres-why-thats-a-seismic-change-for-the-industry-270818,Composition
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Not identified by the tool,Not used.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Not identified by the tool,Not used.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Identified by the tool,"Limited use, but have a explenation following",The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Identified by the tool,Used.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Spelling
E2R Guidelines about Spelling,Semicolon,Identified by the tool,"Used ""around"" the article, but not used in the article",The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Not identified by the tool,"The big numbers is written without a lot of zeros, using the word ""milions"" instead and have no decimal numbers",The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Spelling
E2R Guidelines about Grammar,Passive language/voice,Not identified by the tool,Not used.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Grammar
E2R Guidelines about Grammar,Negative sentences,Identified by the tool,Only used when needed and very minimal,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Grammar
E2R Guidelines about Grammar,Gerund forms,Identified by the tool,Limited use,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Grammar
E2R Guidelines about Grammar,Start a new sentence on a new line,Not identified by the tool,Not used.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Grammar
E2R Guidelines about Vocabulary,Words from other languages (unless they are very well known),Not identified by the tool,Not used.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Vocabulary
E2R Guidelines about Vocabulary,Use of synonyms instead of the same word across the text,Identified by the tool,,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Vocabulary
E2R Guidelines about Vocabulary,Adverbs ending in '-ly',Identified by the tool,Limited use,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Vocabulary
E2R Guidelines about Vocabulary,Superlatives,Identified by the tool,"Are used, but limited",The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Vocabulary
E2R Guidelines about Composition of Text,List things using commas instead of bullet points,Not identified by the tool,No lists appear; information is embedded in paragraphs.,The tool was able to identify this correct,ChatGPT,ChatGPT is not the best tool to use for this,45.0,1,https://www.bbc.com/news/articles/c30jnp03rm7o,Composition
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Partially identified by the tool,"Rarely used; only $ and £ appear for currency, which are appropriate.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Identified by the tool,Parenthesis is used,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Identified by the tool,NAFUM is introduced without explanation; could benefit from a brief definition.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Spelling
E2R Guidelines about Spelling,Semicolon,Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Identified by the tool,"""$1.3 million (approximately £1 million)""",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Spelling
E2R Guidelines about Grammar,Passive language/voice,Partially identified by the tool,"Several instances, e.g., “Jason was diagnosed…” and “was established…” could be rewritten in active voice for clarity.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Grammar
E2R Guidelines about Grammar,Negative sentences,Identified by the evaluator (in a manual way),,"The tool came up with some sentences that could appear negative, but I dont agree. I did not find any negative sentences",Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Grammar
E2R Guidelines about Grammar,Gerund forms,Identified by the tool,"Frequent use, e.g., “supporting,” “donating,” “remembering,” which may complicate readability.",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Grammar
E2R Guidelines about Grammar,Start a new sentence on a new line,Not identified by the tool,They do not start a new stentence on a new line,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Grammar
E2R Guidelines about Vocabulary,Words from other languages (unless they are very well known),Not identified by the tool,Not used.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Vocabulary
E2R Guidelines about Vocabulary,Use of synonyms instead of the same word across the text,Not identified by the tool,No use of synonyms,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Vocabulary
E2R Guidelines about Vocabulary,Adverbs ending in '-ly',Identified by the tool,"Frequent use: “philosophically,” “extraordinarily,” “fabulously.”",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Vocabulary
E2R Guidelines about Vocabulary,Superlatives,Identified by the tool,"“Most,” “best,” and “fabulously brave” appear",The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Vocabulary
E2R Guidelines about Composition of Text,List things using commas instead of bullet points,Identified by the tool,No lists appear; information is embedded in paragraphs.,The tool was able to identify this correct,Copilot,"CoPilot is a decent tool to use for this, but still needs to be checked by a human",30.0,1,https://www.manchester.ac.uk/about/magazine/features/life-impact-sear-family/,Composition
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Identified by the tool,No special symbols in text.,,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Identified by the tool,Inclused parenthesis,It is recommended to remove them or rewriting in full sentences,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Identified by the evaluator (in a manual way),No other than BBC,This is a name that could be known and doesn't need to be explained,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Identified by the tool,Suspension points are used in the text.,Can confuse E2R users by suggesting missing information.,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Spelling
E2R Guidelines about Spelling,Semicolon,Identified by the tool,Not used.,,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Identified by the tool,Some big numbers but realistic quantities.,Numbers present but not large or abstract.,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Spelling
E2R Guidelines about Grammar,Passive language/voice,Identified by the tool,They appear in multiple occasions,It reduces clarity by hiding who performed the action.,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Grammar
E2R Guidelines about Grammar,Negative sentences,Identified by the tool,They appear in multiple occasions,Affirmative sentences make the content easier to understand,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Grammar
E2R Guidelines about Grammar,Gerund forms,Identified by the tool,They appear in multiple occasions,"Chain multiple action into one sentence, its better if they are separated.",ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Grammar
E2R Guidelines about Grammar,Start a new sentence on a new line,Identified by the tool,Same paragraphs contains more than one idea,Its better to separete to achieve better readability,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Grammar
E2R Guidelines about Vocabulary,Words from other languages (unless they are very well known),Identified by the evaluator (in a manual way),Not used.,,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Vocabulary
E2R Guidelines about Vocabulary,Use of synonyms instead of the same word across the text,Identified by the tool,Text uses many synonyms and variations,It can confuse readers with cognitive difficulty,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Vocabulary
E2R Guidelines about Vocabulary,Adverbs ending in '-ly',Identified by the evaluator (in a manual way),Appears multiple times in the text,It adds unnecesary complexity to the text,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Vocabulary
E2R Guidelines about Vocabulary,Superlatives,Identified by the tool,Multiple expressions present,It adds subjetive intensity,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Vocabulary
E2R Guidelines about Composition of Text,List things using commas instead of bullet points,Identified by the tool,There are no long lists using commas,,ChatGPT,,20.0,2,https://www.bbc.com/mundo/articles/cwypye7z2zro,Composition
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Identified by the tool,"Currency symbol

Dollar sign ($) in:

“$90 billion”

“$2000 a person”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Identified by the tool,"Parentheses: “(IEEPA)”, “(not including high income people!)”

Quotation marks used for emphasis and direct quotes",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Identified by the tool,"Detected abbreviations and acronyms:

US

IEEPA

PhD

BBC

CNBC

Nato",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Not identified by the tool,"No occurrences of “etc.”

No ellipses or suspension points detected",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Spelling
E2R Guidelines about Spelling,Semicolon,Not identified by the tool,,No occurences,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Identified by the tool,"“$90 billion”

“$2000 a person”

“15 December 2025”

“3 hrs ago / 49 mins ago / 1 hr ago”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Spelling
E2R Guidelines about Grammar,Passive language/voice,Identified by the tool,"“have already been ruled”

“was seeking back” (contextual passive phrasing)

“will be paid to everyone”

“has been subsequently affirmed”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Grammar
E2R Guidelines about Grammar,Negative sentences,Identified by the tool,"“didn't say how much it was seeking back”

“is not guaranteed”

“will restrict its ability”

“no threat” (headline reference)",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Grammar
E2R Guidelines about Grammar,Gerund forms,Identified by the tool,"“using emergency powers”

“trying to protect their rights”

“taking in Trillions of Dollars”

“speaking at a podium”

“taking the suit”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Grammar
E2R Guidelines about Grammar,Start a new sentence on a new line,Identified by the tool,"Multiple sentences and fragments start on new lines.

Headings, bylines, timestamps, and related-story links appear on separate lines.",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Grammar
E2R Guidelines about Vocabulary,Words from other languages (unless they are very well known),Not identified by the tool,,No words outside of English are detected,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Vocabulary
E2R Guidelines about Vocabulary,Use of synonyms instead of the same word across the text,Identified by the tool,"“tariffs”, “import duties”, “levies”

“lawsuit”, “suit”, “case”

“court”, “judges”, “justices”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Vocabulary
E2R Guidelines about Vocabulary,Adverbs ending in '-ly',Identified by the tool,"“already”

“subsequently”

“sharply”

“quickly” 

“clearly”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Vocabulary
E2R Guidelines about Vocabulary,Superlatives,Identified by the tool,"“third-largest retailer”

“most” (implied in “world-leading” style phrasing in related items)

“enormous” (superlative-style emphasis)",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Vocabulary
E2R Guidelines about Composition of Text,List things using commas instead of bullet points,Identified by the tool,"Comma-separated lists detected:

“News, Sport, Business, Innovation, Health, Culture…”

“Home, News, Sport, Business…”

“Terms of Use, Subscription Terms, About the BBC…”",,ChatGPT,"Due to restrictions on the BBC page, ChatGPT was not able to access it itself, to complete this analysis the full page was copied and uploaded in ChatGPT",0.0,3,https://www.bbc.com/news/articles/c3r78peyzzlo,Composition
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Unknown,,,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Identified by the tool,"“[a confrontational stance]”
“[a peaceful, non-violent approach]”",To explain the foreign terms used in the article,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Not identified by the tool,,,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Identified by the tool,“meaningless… Participating in civil society”,,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,Semicolon,Not identified by the tool,,,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Not identified by the tool,,,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Grammar,Passive language/voice,Identified by the tool,"“is often praised as a sign…”
“was a mass movement initially sparked by…”
“were sometimes silenced or sidelined”
“were expected to represent a wide range…”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Grammar
E2R Guidelines about Grammar,Negative sentences,Identified by the tool,"“doesn’t always empower”
“can also exclude, silence, and polarise”
“don’t fully agree”
“no one would respond to my email”
“not just platforms for mobilisation”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Grammar
E2R Guidelines about Grammar,Gerund forms,Identified by the tool,"“demanding political change”
“capturing a complex picture”
“excluding the very voices…”
“challenging injustice”
“participating in civil society”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Grammar
E2R Guidelines about Grammar,Start a new sentence on a new line,Identified by the tool,"Headings, paragraphs, quotes, and short statements start on new lines.
Article structure relies heavily on line breaks.","Outside of this, most text segments continue in a flowing sentence structure.",ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Grammar
E2R Guidelines about Vocabulary,Words from other languages (unless they are very well known),Identified by the tool,"“Yung Mo”
“Wo Lei Fei”",Both of these instances are explained after to clarify their meaning.,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Vocabulary
E2R Guidelines about Vocabulary,Use of synonyms instead of the same word across the text,Identified by the tool,"“activism”, “mobilisation”, “engagement”
“exclude”, “silence”, “sideline”
“students”, “student leaders”, “interviewees”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Vocabulary
E2R Guidelines about Vocabulary,Adverbs ending in '-ly',Identified by the tool,"“often”
“initially”
“quickly”
“purely”
“credibly”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Vocabulary
E2R Guidelines about Vocabulary,Superlatives,Identified by the tool,"“the very organisations”
“the heart of student politics”
“the epitome of society”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Vocabulary
E2R Guidelines about Composition of Text,List things using commas instead of bullet points,Identified by the tool,"“exclude, silence, and polarise”
“seen, heard, and united”
“leadership, political awareness, and a sense of collective purpose”",,ChatGPT,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Composition
E2R Guidelines about Spelling,"Special characters like \, &, <, § or #",Not identified by the tool,,Not used,Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,Parenthesis and square brackets,Identified by the tool,"Used to explain terms and provide context: ""[a confrontational stance]"", ""[a peaceful, non-violent approach]"", ""[civic engagement and study]"".","Tool output: Official guidelines state that parentheses or brackets make a sentence harder to follow. Explanations should be integrated into the main text as separate, simple sentences.",Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,"Abbreviations, acronyms, and initials",Not identified by the tool,,Not used,Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,etc.' and suspension points,Not identified by the tool,,Not used,Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,Semicolon,Identified by the tool,"Found in several instances used to connect independent clauses (e.g., in the discussion of diverse perspectives).",Semicolons are not used in this text. The tool is simply wrong about this,Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Spelling,Percentages and big numbers,Identified by the tool,"""2019"", ""26"", ""11"", ""1 July 2019"".","The text uses digits, which is the official E2R recommendation. However, dates like ""1 July 2019"" are more complex than ""July 2019.""",Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Spelling
E2R Guidelines about Grammar,Passive language/voice,Identified by the tool,"""opposition to a proposed extradition bill"", ""voices... being pushed to the margins"", ""often associated with"", ""expected to represent"".","hese forms are indirect. E2R requires the active voice (e.g., ""People opposed the bill""). Passive voice makes it difficult to tell who is doing what.",Gemini,,0.0,3,https://theconversation.com/activism-doesnt-always-empower-students-in-hong-kong-it-has-silenced-them-too-263682,Grammar
